Generation,Material,Safety,Position,Control
0,103.97090509185885,31.130614553177026,10.564551510706831,6.9098669838754745
1,100.34543148780892,72.39723699981222,22.400278660229493,17.382796039313007
2,107.72439379109161,47.578250795901965,17.246750400488377,0.045860960449152444
3,119.76190278158421,28.043641000710203,32.609629389250124,10.758695727120097
4,122.26602494762929,53.49698378151342,12.531976012997106,6.173639876627313
5,123.54543498002894,22.87813113936795,14.006320664429122,0.0
6,145.25820602363484,38.331934663800624,30.37097140833987,8.076152226611681
7,127.37201063782425,58.5729700141337,10.891198701739132,12.90985094365174
8,132.33547920496773,28.636916821411134,4.373953017892115,0.0
9,114.42534096418045,52.224434031400556,11.018372758016524,0.0
10,157.8093779351141,29.16553113917041,9.65275221696124,6.259405479000016
11,120.66026553495063,37.62437111197055,21.82699352056448,7.275267236585709
12,200.0,46.84825404084608,17.868425513808464,11.383605487586651
13,147.26318247174936,44.74478049920268,56.84001142690898,8.019241672482357
14,181.557347108561,71.20922716224982,29.657572861281285,14.275718992705485
15,157.8093779351141,29.16553113917041,9.65275221696124,6.259405479000016
16,170.79349573015156,20.759860287348992,18.400376539409134,0.13308602786354484
17,172.90088881764152,54.05805813725694,60.214406982900286,13.252680062008661
18,197.04340234863727,47.03047016290137,0.0,10.355004583207855
19,156.08978249601736,34.46441371831607,16.622312813628344,0.658876483438716
20,157.8093779351141,29.16553113917041,9.65275221696124,6.259405479000016
21,195.0681457671974,40.08563740585821,0.0,1.8387752877481196
22,200.0,55.663226776447914,9.838124005259504,13.704240057373958
23,200.0,51.96438387839306,3.457831309573784,4.7341172487246626
24,200.0,58.15832074596727,0.0,6.989510942445509
25,153.70773840278537,25.9005316550343,8.389021020171658,11.07726279707661
26,163.32289630700328,78.48219939167419,18.929079873993913,16.257887185653008
27,200.0,58.15832074596727,0.0,6.989510942445509
28,190.30083931837558,53.730425667681835,0.0,5.67321447931093
29,157.51591958394656,46.31389677773875,4.1125071236644555,10.088891124862371
30,169.1675484991307,39.34485024235097,1.5598475134536365,14.209530962676752
31,158.42202116037882,24.465650508550155,0.0,15.936550091110943
32,167.66992398464427,34.57890542177297,6.48299222262828,4.123041760799337
33,167.66992398464427,34.57890542177297,6.48299222262828,4.123041760799337
34,157.35816028571958,59.16622104646686,0.0,0.0
35,195.92540965012253,115.62326916150775,12.09757496291086,32.818552924452845
36,200.0,34.038165450676544,0.0,11.382267138373555
37,173.64670902439138,26.90158944421832,3.4487829720445085,10.055001782736262
38,173.64670902439138,26.90158944421832,3.4487829720445085,10.055001782736262
39,182.698453653603,47.47631735574137,0.0,10.086378459354354
